Município,Distrito,Nome,2024
Vila Nova do Corvo,Açores,Elevação a vila e sede de concelho,qui. 20 junho
Vila Pouca de Aguiar,Vila Real,Atribuição do foral manuelino,sáb. 22 junho
Vila Real de Santo António,Faro,Elevação a cidade,seg. 13 maio
Vila Real,Vila Real,Santo António,qui. 13 junho
Vila Velha de Ródão,Castelo Branco,Nossa Senhora da Alagada,seg. 26 agosto
Vila Verde,Braga,Santo António,qui. 13 junho
Vila Viçosa,Évora,Nascimento de Couto Jardim,sex. 16 agosto
Vimioso,Bragança,São Lourenço,sáb. 10 agosto
Vinhais,Bragança,Outorgação do foral manuelino,seg. 20 maio
Viseu,Viseu,São Mateus,sáb. 21 setembro
Vizela,Braga,Restauração do município,ter. 19 março
Vouzela,Viseu,São Frei Gil,ter. 14 maio
